QAN,QualificationTitle,AwardingOrganisation,QualificationLevel,QualificationType,SSA,OfferedInEngland,FundedInEngland,GLH,TQT,Pre16,Age16To18,Age18Plus,Age19Plus,FundingStreamName,FundingApprovalStartDate,ProposedOutcome,RolloverStatus,ExclusionReason,OperationalEndDate,PLDNS,CurrentFundingApprovalEndDate,ProposedFundingApprovalEndDate,Comments
60365614,Gateway Qualifications Level 2 Award in Creative Industries,Gateway Qualifications Limited,Level 2,Vocationally-Related Qualification,"Crafts, creative arts and design",True,True,45,60,True,True,True,True,Age1619,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365651,Pearson Edexcel Level 2 NVQ Diploma in Decorative Finishing and Industrial Painting Occupations (Construction),Pearson Education Ltd,Level 2,Occupational Qualification,Building and construction,True,True,345,590,False,True,False,True,Age1619,2020/10/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365651,Pearson Edexcel Level 2 NVQ Diploma in Decorative Finishing and Industrial Painting Occupations (Construction),Pearson Education Ltd,Level 2,Occupational Qualification,Building and construction,True,True,345,590,False,True,False,True,LocalFlexibilities,2020/10/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365663,Gateway Qualifications Level 2 Certificate in Creative Industries ,Gateway Qualifications Limited,Level 2,Vocationally-Related Qualification,"Crafts, creative arts and design",True,True,120,150,True,True,True,True,LocalFlexibilities,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365663,Gateway Qualifications Level 2 Certificate in Creative Industries ,Gateway Qualifications Limited,Level 2,Vocationally-Related Qualification,"Crafts, creative arts and design",True,True,120,150,True,True,True,True,Age1416,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365663,Gateway Qualifications Level 2 Certificate in Creative Industries ,Gateway Qualifications Limited,Level 2,Vocationally-Related Qualification,"Crafts, creative arts and design",True,True,120,150,True,True,True,True,Age1619,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365705,Gateway Qualifications Level 2 Diploma in Creative Industries,Gateway Qualifications Limited,Level 2,Vocationally-Related Qualification,"Crafts, creative arts and design",True,True,360,450,True,True,True,True,Age1619,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365705,Gateway Qualifications Level 2 Diploma in Creative Industries,Gateway Qualifications Limited,Level 2,Vocationally-Related Qualification,"Crafts, creative arts and design",True,True,360,450,True,True,True,True,Age1416,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365705,Gateway Qualifications Level 2 Diploma in Creative Industries,Gateway Qualifications Limited,Level 2,Vocationally-Related Qualification,"Crafts, creative arts and design",True,True,360,450,True,True,True,True,LocalFlexibilities,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365717,ATHE Level 3 Diploma in Small Business and Social Enterprise Start-up ,ATHE Ltd,Level 3,Vocationally-Related Qualification,Business management,True,True,360,600,False,True,True,True,LegalEntitlementL2L3,2026/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365717,ATHE Level 3 Diploma in Small Business and Social Enterprise Start-up ,ATHE Ltd,Level 3,Vocationally-Related Qualification,Business management,True,True,360,600,False,True,True,True,AdvancedLearnerLoans,2020/08/28,Extended,Extended,,,,2027/07/31,2028/07/31,
60365717,ATHE Level 3 Diploma in Small Business and Social Enterprise Start-up ,ATHE Ltd,Level 3,Vocationally-Related Qualification,Business management,True,True,360,600,False,True,True,True,Age1619,2020/08/28,Extended,Extended,,,,2027/07/31,2028/07/31,
60365742,Gateway Qualifications Level 1 Diploma in Health and Care,Gateway Qualifications Limited,Level 1,Vocationally-Related Qualification,Health and social care,True,True,296,390,True,True,True,True,LocalFlexibilities,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365742,Gateway Qualifications Level 1 Diploma in Health and Care,Gateway Qualifications Limited,Level 1,Vocationally-Related Qualification,Health and social care,True,True,296,390,True,True,True,True,Age1416,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365742,Gateway Qualifications Level 1 Diploma in Health and Care,Gateway Qualifications Limited,Level 1,Vocationally-Related Qualification,Health and social care,True,True,296,390,True,True,True,True,Age1619,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365754,Gateway Qualifications Level 2 Diploma in Health and Care,Gateway Qualifications Limited,Level 2,Vocationally-Related Qualification,Health and social care,True,True,306,390,False,True,True,True,Age1619,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365754,Gateway Qualifications Level 2 Diploma in Health and Care,Gateway Qualifications Limited,Level 2,Vocationally-Related Qualification,Health and social care,True,True,306,390,False,True,True,True,LocalFlexibilities,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365845,AIM Qualifications Level 2 Extended Diploma in Cyber Awareness,AIM Qualifications,Level 2,Other Vocational Qualification,Digital technology (practitioners),True,True,360,600,True,True,True,True,Age1619,2020/08/30,Extended,Extended,,,,2027/07/31,2028/07/31,
60365845,AIM Qualifications Level 2 Extended Diploma in Cyber Awareness,AIM Qualifications,Level 2,Other Vocational Qualification,Digital technology (practitioners),True,True,360,600,True,True,True,True,Age1416,2020/08/30,Extended,Extended,,,,2027/07/31,2028/07/31,
60365845,AIM Qualifications Level 2 Extended Diploma in Cyber Awareness,AIM Qualifications,Level 2,Other Vocational Qualification,Digital technology (practitioners),True,True,360,600,True,True,True,True,LocalFlexibilities,2020/08/30,Extended,Extended,,,,2027/07/31,2028/07/31,
60365857,AIM Qualifications Level 1 Award in Computing and Information Security,AIM Qualifications,Level 1,Other Vocational Qualification,Digital technology (practitioners),True,True,60,100,True,True,True,True,Age1416,2020/08/30,Extended,Extended,,,,2027/07/31,2028/07/31,
60365857,AIM Qualifications Level 1 Award in Computing and Information Security,AIM Qualifications,Level 1,Other Vocational Qualification,Digital technology (practitioners),True,True,60,100,True,True,True,True,LocalFlexibilities,2020/08/30,Extended,Extended,,,,2027/07/31,2028/07/31,
